date,trade_code,high,low,open,close,volume
2020-07-27,AFTABAUTO,23.6,23.6,23.6,23.6,23153
2020-07-26,AFTABAUTO,23.6,23.6,23.6,23.6,12507
2020-07-23,AFTABAUTO,23.6,23.6,23.6,23.6,4736
2020-07-22,AFTABAUTO,23.6,23.6,23.6,23.6,8753
2020-07-21,AFTABAUTO,23.6,23.6,23.6,23.6,7300
2020-07-20,AFTABAUTO,23.6,23.6,23.6,23.6,1
2020-07-19,AFTABAUTO,23.6,23.6,23.6,23.6,14215
2020-07-16,AFTABAUTO,23.6,23.6,23.6,23.6,5310
2020-07-15,AFTABAUTO,23.6,23.6,23.6,23.6,8905
2020-07-14,AFTABAUTO,23.7,23.6,23.6,23.6,41750
2020-07-13,AFTABAUTO,24.1,23.6,24,23.6,122356
2020-07-12,AFTABAUTO,24.4,23.6,23.6,23.9,139232
2020-07-09,AFTABAUTO,24.3,23.6,23.6,23.6,169043
2020-07-08,AFTABAUTO,23.6,23.6,23.6,23.6,1341
2020-07-07,AFTABAUTO,23.6,23.6,23.6,23.6,1035
2020-07-06,AFTABAUTO,23.6,23.6,23.6,23.6,1801
2020-07-05,AFTABAUTO,23.6,23.6,23.6,23.6,1997
2020-07-02,AFTABAUTO,23.6,23.6,23.6,23.6,597
2020-08-10,AGNISYSL,20.2,19.2,20.2,19.4,1372748
2020-08-09,AGNISYSL,20.5,19.5,20.2,19.9,1992727
2020-08-06,AGNISYSL,20.6,19.7,20.3,20.1,2125215
2020-08-05,AGNISYSL,20.7,18.6,19.3,20.1,2055807
2020-08-04,AGNISYSL,20,19,19.9,19.1,2482921
2020-08-03,AGNISYSL,19.3,18,18,19.3,1900409
2020-07-30,AGNISYSL,17.6,16,16,17.6,2035771
2020-07-29,AGNISYSL,16.3,15.2,15.3,16,1402346
2020-07-28,AGNISYSL,15.3,14.1,14.2,15.1,668981
2020-07-27,AGNISYSL,14.4,14,14.2,14.2,312809
2020-07-26,AGNISYSL,14.5,13.6,13.8,14.1,481419
2020-07-23,AGNISYSL,13.8,13.7,13.8,13.8,115440
2020-07-22,AGNISYSL,14,13.7,13.7,13.8,563768
2020-07-21,AGNISYSL,13.8,13.4,13.4,13.6,250329
2020-07-20,AGNISYSL,13.4,13.4,13.4,13.4,31464
2020-07-19,AGNISYSL,13.4,13.4,13.4,13.4,21022
2020-07-16,AGNISYSL,13.5,13.4,13.4,13.4,32421
2020-07-15,AGNISYSL,13.5,13.4,13.4,13.4,126177
2020-07-14,AGNISYSL,13.6,13.4,13.5,13.4,130476
2020-07-13,AGNISYSL,13.9,13.5,13.9,13.6,182100
2020-07-12,AGNISYSL,14,13.7,13.8,13.8,282028
2020-07-09,AGNISYSL,14.1,13.5,14,13.6,294855
2020-07-08,AGNISYSL,13.9,13.4,13.4,13.8,480147
2020-07-07,AGNISYSL,13.6,13.4,13.5,13.4,266370
2020-07-06,AGNISYSL,14,13.4,13.4,13.5,510627
2020-07-05,AGNISYSL,13.4,13.4,13.4,13.4,525
2020-07-02,AGNISYSL,13.4,13.4,13.4,13.4,30930
2020-08-10,AGRANINS,32.9,29.5,32.8,30.2,858813
2020-08-09,AGRANINS,32.9,30.5,30.6,32.5,1073273
